"Item_Code","Category_Id","Category_En","Category_Zh","Facility_En","Facility_Zh","Sorting_Order"
"VJ1","VJ","Facilities for Visually Impaired","視覺受損人士設施","Tactile Guide Paths","失明人士引導徑","1"
"VJ2","VJ","Facilities for Visually Impaired","視覺受損人士設施","Escalator Audible Warning Signals","扶手電梯發聲提示器","2"
"VJ3","VJ","Facilities for Visually Impaired","視覺受損人士設施","Platform Tactile Yellow Lines","月台黃色凸條","3"
"VJ4","VJ","Facilities for Visually Impaired","視覺受損人士設施","Audible Device","發聲器","4"
"VJ5","VJ","Facilities for Visually Impaired","視覺受損人士設施","Braille","點字板","5"
"VJ6","VJ","Facilities for Visually Impaired","視覺受損人士設施","Colour Contrast Grab Poles","色彩分明的扶手桿","6"
"VJ7","VJ","Facilities for Visually Impaired","視覺受損人士設施","Buzzer","蜂鳴聲","7"
"VJ8","VJ","Facilities for Visually Impaired","視覺受損人士設施","Colour Contrast Inter-Car Barriers","色彩鮮明的欄障","8"
"VIn1","VJ","Facilities for Visually Impaired","視覺受損人士設施","Tactile Station Layout Maps","觸覺車站佈置圖","9"
"VIn2","VJ","Facilities for Visually Impaired","視覺受損人士設施","Modification of Obstructions","改裝障礙物","10"
"MJ1","MJ","Facilities for Mobility Impaired","行動不便人士設施","Wide Gates","闊閘機","3"
"MJ2","MJ","Facilities for Mobility Impaired","行動不便人士設施","Portable or Movable Ramps","手攜式或活動摺板","4"
"MJ3","MJ","Facilities for Mobility Impaired","行動不便人士設施","Multi-Purpose Areas","多用途空間","5"
"MJ4","MJ","Facilities for Mobility Impaired","行動不便人士設施","Accessible Toilets (Unpaid Area)","無障礙洗手間 (閘外區域)","6"
"MJ5","MJ","Facilities for Mobility Impaired","行動不便人士設施","Accessible Toilets (Paid Area)","無障礙洗手間 (已付車費區域)","7"
"MJ6","MJ","Facilities for Mobility Impaired","行動不便人士設施","Accessible Toilets (Staff Area)","無障礙洗手間 (職員專用區域)","8"
"MJ8","MJ","Facilities for Mobility Impaired","行動不便人士設施","Socket for Powered Wheelchair","電動輪椅專用充電插座","8"
"MJ7","MJ","Facilities for Mobility Impaired","行動不便人士設施","Accessible-car service (Contact Station Staff to arrange on arrival)","無障礙接駁服務 (到站後請聯絡車站職員安排)","9"
"HJ1","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","Induction Loops","感應環迴系統","1"
"HJ2","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","Passenger Info Display Systems","乘客資訊顯示系統","2"
"HJ3","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","Flashing System Maps","閃燈路&#32171;圖","3"
"HJ4","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","Active Line Diagrams","動感行車路&#32171;圖","4"
"HJ5","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","On Train Info - Infopanels","列車上的資訊","5"
"HJ6","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","On Train Info - LCD Infopanels","液晶顯示資趣台","6"
"HJ7","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","On Train Info - MTR In-train TV","港鐵車廂電視屏幕","7"
"HIn1","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","Information Cards","諮詢卡","8"
"HJ8","HJ","Facilities for Hearing Impaired","聽覺受損人士設施","On Train Info - OPIS (For LR)","列車上的資訊","9"
"AJ1","AJ","System Accessibility","出入口設施","Same Level","同一層","1"
"AJ2","AJ","System Accessibility","出入口設施","Ramp","斜道","2"
"AJ3","AJ","System Accessibility","出入口設施","Lift - Unpaid Area","升降機 - 閘外區域","3"
"AJ4","AJ","System Accessibility","出入口設施","Lift - Unpaid Area (Non MTR managed facility)","升降機 - 閘外區域 (非港鐵管理的設施)","4"
"AJ5","AJ","System Accessibility","出入口設施","Stair Lift","輪椅升降台","5"
"AJ6","AJ","System Accessibility","出入口設施","Wheelchair Aid","輪椅輔助車","6"
"AJ7","AJ","System Accessibility","出入口設施","Stair Lift (Non MTR managed facility)","輪椅升降台 (非港鐵管理的設施)","7"
"AJ8","AJ","System Accessibility","出入口設施","Lift - Paid Area","升降機 - 已付車費區域","8"
"AJ9","AJ","System Accessibility","出入口設施","Vertical Lifting Platform","垂直升降台","9"
