"From_ENG","From_CHI","To_ENG","To_CHI","Type_ENG","Type_CHI","Adult Fare","Child Fare","Validity"
"Hung Hom ","紅磡","Beijing West","北京西","Upper Hard Sleeper","硬卧上鋪","$574","$366","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Middle Hard Sleeper ","硬卧中鋪","$587","$380","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Lower Hard Sleeper","硬卧下鋪","$601","$393","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Soft Sleeper","軟卧","$934","$604","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Deluxe Soft Sleeper","高包","$1191","$788","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Upper Hard Sleeper","硬卧上鋪","$517","$329","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Middle Hard Sleeper ","硬卧中鋪","$528","$342","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Lower Hard Sleeper","硬卧下鋪","$541","$354","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Soft Sleeper","軟卧","$841","$544","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Beijing West","北京西","Deluxe Soft Sleeper","高包","$1072","$709","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Beijing West","北京西","Hung Hom","紅磡","Upper Hard Sleeper","硬卧上鋪","$574","$366","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Beijing West","北京西","Hung Hom","紅磡","Middle Hard Sleeper ","硬卧中鋪","$587","$380","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Beijing West","北京西","Hung Hom","紅磡","Lower Hard Sleeper","硬卧下鋪","$601","$393","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Beijing West","北京西","Hung Hom","紅磡","Soft Sleeper","軟卧","$934","$604","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Beijing West","北京西","Hung Hom","紅磡","Upper Hard Sleeper","硬卧上鋪","$517","$329","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Beijing West","北京西","Hung Hom","紅磡","Middle Hard Sleeper ","硬卧中鋪","$528","$342","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Beijing West","北京西","Hung Hom","紅磡","Lower Hard Sleeper","硬卧下鋪","$541","$354","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Beijing West","北京西","Hung Hom","紅磡","Soft Sleeper","軟卧","$841","$544","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Shanghai","上海","Upper Hard Sleeper","硬卧上鋪","$508","$320","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Shanghai","上海","Middle Hard Sleeper ","硬卧中鋪","$519","$331","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Shanghai","上海","Lower Hard Sleeper","硬卧下鋪","$530","$342","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Shanghai","上海","Soft Sleeper","軟卧","$825","$527","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Shanghai","上海","Deluxe Soft Sleeper","高包","$1039","$680","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Hung Hom ","紅磡","Shanghai","上海","Upper Hard Sleeper","硬卧上鋪","$457","$288","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Shanghai","上海","Middle Hard Sleeper ","硬卧中鋪","$467","$298","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Shanghai","上海","Lower Hard Sleeper","硬卧下鋪","$477","$308","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Shanghai","上海","Soft Sleeper","軟卧","$743","$474","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Shanghai","上海","Deluxe Soft Sleeper","高包","$935","$612","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Shanghai","上海","Hung Hom","紅磡","Upper Hard Sleeper","硬卧上鋪","$508","$320","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Shanghai","上海","Hung Hom","紅磡","Middle Hard Sleeper ","硬卧中鋪","$519","$331","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Shanghai","上海","Hung Hom","紅磡","Lower Hard Sleeper","硬卧下鋪","$530","$342","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Shanghai","上海","Hung Hom","紅磡","Soft Sleeper","軟卧","$825","$527","12-17 Feb, 24 Feb - 5 Mar, 15 Jul - 31 Aug 2015"
"Shanghai","上海","Hung Hom","紅磡","Upper Hard Sleeper","硬卧上鋪","$457","$288","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Shanghai","上海","Hung Hom","紅磡","Middle Hard Sleeper ","硬卧中鋪","$467","$298","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Shanghai","上海","Hung Hom","紅磡","Lower Hard Sleeper","硬卧下鋪","$477","$308","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Shanghai","上海","Hung Hom","紅磡","Soft Sleeper","軟卧","$743","$474","1 Jan - 11 Feb, 18 - 23 Feb, 6 Mar - 14 Jul, 1 Sep -31 Dec 2015"
"Hung Hom ","紅磡","Changping","常平","First Class","一等","$155","$78","--"
"Hung Hom ","紅磡","Guangzhou East","廣州東","First Class","一等","$210","$105","--"
"Hung Hom ","紅磡","Guangzhou East","廣州東","Permium Class","特等","$250","$125","--"
"Changping","常平","Hung Hom","紅磡","First Class","一等","$155","$78","--"
"Guangzhou East","廣州東","Hung Hom","紅磡","First Class","一等","$210","$105","--"
"Guangzhou East","廣州東","Hung Hom","紅磡","Permium Class","特等","$250","$125","--"
"Hung Hom ","紅磡","Foshan","佛山","First Class","一等","$230","$115","--"
"Hung Hom ","紅磡","Zhaoqing","肇慶","First Class","一等","$255","$128","--"
