ROUTE_ID,FARE_OCTO_ADULT,FARE_OCTO_CHILD,FARE_OCTO_ELDERLY,FARE_OCTO_JOYU,FARE_OCTO_PWD,FARE_OCTO_STUDENT,FARE_SINGLE_ADULT,FARE_SINGLE_CHILD,FARE_SINGLE_ELDERLY,FARE_SINGLE_JOYU,FARE_SINGLE_PWD,FARE_SINGLE_STUDENT,REFERENCE_ID
K12,4.8,2.4,2,2,2,4.8,4.8,2.4,2.4,-,-,-,K12
K14,4.8,2.4,2,2,2,4.8,4.8,2.4,2.4,-,-,-,K14
K17,4.8,2.4,2,2,2,4.8,4.8,2.4,2.4,-,-,-,K17
K18,4.8,2.4,2,2,2,4.8,4.8,2.4,2.4,-,-,-,K18
506,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,506
506,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,506-1
K51,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K51
K51A,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K51A
K51,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K51-1
K51,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K51-2
K52,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K52
K52A,10.1,5.1,2,2,2,5.1,10.1,5.1,5.1,-,-,-,K52A
K52,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K52-1
K52P,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K52P
K53,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K53
K53S,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K53S
K54,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K54
K54A,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K54A
K58,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K58
K65,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K65
K65A,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K65A
K66,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K66
K66,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K66-1
K66,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K66-2
K66,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K66-3
K68,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K68
K68,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K68-1
K68,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K68-2
K68,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K68-3
K68,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K68-4
K73,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K73
K73,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K73-1
K73,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K73-2
K74,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K74
K75A,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K75A
K75P,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K75P
K75S,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K75S
K75S,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K75S1
K75P,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K75P1
K76,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K76
K76S,5.1,2.2,2,2,2,2.2,5.1,2.2,2.2,-,-,-,K76S
